id,order_line_id,supplier_tpartner_id,product_id,company_id,order_type,ship_to_site_id,order_id,planned_delivery_date,supplier_description,units_shipped,actual_delivery_date,package_id,transportation_mode,shipment_status,carrier_id,uom,creation_date
OLS_32903e48-9aa9-11ee-9e54-acde48001122,OLS_32903e48-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_31,2022-08-14T01:49:58Z,Mark LLC,11.0,2022-09-11T02:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2022-08-04T01:49:58Z
OLS_32903e70-9aa9-11ee-9e54-acde48001122,OLS_32903e70-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_32,2022-08-30T19:49:58Z,Mark LLC,1.0,2022-09-29T20:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2022-08-20T19:49:58Z
OLS_32903e98-9aa9-11ee-9e54-acde48001122,OLS_32903e98-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_33,2022-09-16T14:49:58Z,Mark LLC,8.0,2022-10-16T14:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2022-09-06T13:49:58Z
OLS_32903ec0-9aa9-11ee-9e54-acde48001122,OLS_32903ec0-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_34,2022-10-03T08:49:58Z,Mark LLC,8.0,2022-10-28T08:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2022-09-23T08:49:58Z
OLS_32903ee8-9aa9-11ee-9e54-acde48001122,OLS_32903ee8-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_35,2022-10-20T02:49:58Z,Mark LLC,1.0,2022-12-13T02:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2022-10-10T02:49:58Z
OLS_32903f06-9aa9-11ee-9e54-acde48001122,OLS_32903f06-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_36,2022-11-05T20:49:58Z,Mark LLC,10.0,2022-12-07T20:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2022-10-26T20:49:58Z
OLS_32903f2e-9aa9-11ee-9e54-acde48001122,OLS_32903f2e-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_37,2022-11-22T14:49:58Z,Mark LLC,4.0,2023-01-09T14:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2022-11-12T14:49:58Z
OLS_32903f56-9aa9-11ee-9e54-acde48001122,OLS_32903f56-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_38,2022-12-09T08:49:58Z,Mark LLC,0.0,2023-01-22T08:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2022-11-29T08:49:58Z
OLS_32903f7e-9aa9-11ee-9e54-acde48001122,OLS_32903f7e-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_39,2022-12-26T02:49:58Z,Mark LLC,5.0,2023-01-21T02:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2022-12-16T02:49:58Z
OLS_32903fa6-9aa9-11ee-9e54-acde48001122,OLS_32903fa6-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_40,2023-01-11T20:49:58Z,Mark LLC,8.0,2023-01-31T20:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2023-01-01T20:49:58Z
OLS_32903fc4-9aa9-11ee-9e54-acde48001122,OLS_32903fc4-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_41,2023-01-28T14:49:58Z,Mark LLC,9.0,2023-02-27T14:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2023-01-18T14:49:58Z
OLS_32903fec-9aa9-11ee-9e54-acde48001122,OLS_32903fec-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_42,2023-02-14T08:49:58Z,Mark LLC,7.0,2023-03-31T08:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2023-02-04T08:49:58Z
OLS_32904014-9aa9-11ee-9e54-acde48001122,OLS_32904014-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_43,2023-03-03T02:49:58Z,Mark LLC,2.0,2023-04-11T01:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2023-02-21T02:49:58Z
OLS_3290403c-9aa9-11ee-9e54-acde48001122,OLS_3290403c-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_44,2023-03-19T20:49:58Z,Mark LLC,1.0,2023-04-25T19:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2023-03-09T20:49:58Z
OLS_32904064-9aa9-11ee-9e54-acde48001122,OLS_32904064-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_45,2023-04-05T13:49:58Z,Mark LLC,3.0,2023-05-28T13:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2023-03-26T14:49:58Z
OLS_32904082-9aa9-11ee-9e54-acde48001122,OLS_32904082-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_46,2023-04-22T07:49:58Z,Mark LLC,1.0,2023-05-19T07:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2023-04-12T07:49:58Z
OLS_329040aa-9aa9-11ee-9e54-acde48001122,OLS_329040aa-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_47,2023-05-09T01:49:58Z,Mark LLC,3.0,2023-06-23T01:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2023-04-29T01:49:58Z
OLS_329040d2-9aa9-11ee-9e54-acde48001122,OLS_329040d2-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_48,2023-05-25T19:49:58Z,Mark LLC,1.0,2023-06-06T19:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2023-05-15T19:49:58Z
OLS_329040f0-9aa9-11ee-9e54-acde48001122,OLS_329040f0-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_49,2023-06-11T13:49:58Z,Mark LLC,1.0,2023-07-17T13:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2023-06-01T13:49:58Z
OLS_32904118-9aa9-11ee-9e54-acde48001122,OLS_32904118-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_50,2023-06-28T07:49:58Z,Mark LLC,1.0,2023-07-25T07:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2023-06-18T07:49:58Z
OLS_32904140-9aa9-11ee-9e54-acde48001122,OLS_32904140-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_51,2023-07-15T01:49:58Z,Mark LLC,10.0,2023-08-23T01:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2023-07-05T01:49:58Z
OLS_32904168-9aa9-11ee-9e54-acde48001122,OLS_32904168-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_52,2023-07-31T19:49:58Z,Mark LLC,0.0,2023-09-03T20:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2023-07-21T19:49:58Z
OLS_32904186-9aa9-11ee-9e54-acde48001122,OLS_32904186-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_53,2023-08-17T13:49:58Z,Mark LLC,4.0,2023-09-16T14:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2023-08-07T13:49:58Z
OLS_329041ae-9aa9-11ee-9e54-acde48001122,OLS_329041ae-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_54,2023-09-03T08:49:58Z,Mark LLC,1.0,2023-10-27T08:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2023-08-24T07:49:58Z
OLS_329041d6-9aa9-11ee-9e54-acde48001122,OLS_329041d6-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_55,2023-09-20T02:49:58Z,Mark LLC,4.0,2023-10-22T02:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2023-09-10T02:49:58Z
OLS_329041fe-9aa9-11ee-9e54-acde48001122,OLS_329041fe-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_56,2023-10-06T20:49:58Z,Mark LLC,6.0,2023-11-03T20:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2023-09-26T20:49:58Z
OLS_32904226-9aa9-11ee-9e54-acde48001122,OLS_32904226-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_57,2023-10-23T14:49:58Z,Mark LLC,10.0,2023-11-15T14:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2023-10-13T14:49:58Z
OLS_32904244-9aa9-11ee-9e54-acde48001122,OLS_32904244-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_58,2023-11-09T08:49:58Z,Mark LLC,1.0,2023-12-11T08:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2023-10-30T08:49:58Z
OLS_3290426c-9aa9-11ee-9e54-acde48001122,OLS_3290426c-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_59,2023-11-26T02:49:58Z,Mark LLC,2.0,2023-12-24T02:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2023-11-16T02:49:58Z
OLS_32904294-9aa9-11ee-9e54-acde48001122,OLS_32904294-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_60,2023-12-12T20:49:58Z,Mark LLC,3.0,2024-02-06T20:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2023-12-02T20:49:58Z
OLS_329042b2-9aa9-11ee-9e54-acde48001122,OLS_329042b2-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_61,2023-12-29T14:49:58Z,Mark LLC,13.0,2024-02-14T14:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2023-12-19T14:49:58Z
OLS_329042da-9aa9-11ee-9e54-acde48001122,OLS_329042da-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_62,2024-01-15T08:49:58Z,Mark LLC,0.0,2024-02-19T08:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2024-01-05T08:49:58Z
OLS_32904302-9aa9-11ee-9e54-acde48001122,OLS_32904302-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_63,2024-02-01T02:49:58Z,Mark LLC,1.0,2024-03-23T02:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2024-01-22T02:49:58Z
OLS_32904320-9aa9-11ee-9e54-acde48001122,OLS_32904320-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_64,2024-02-17T20:49:58Z,Mark LLC,4.0,2024-03-18T20:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2024-02-07T20:49:58Z
OLS_32904348-9aa9-11ee-9e54-acde48001122,OLS_32904348-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_65,2024-03-05T14:49:58Z,Mark LLC,1.0,2024-04-03T14:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2024-02-24T14:49:58Z
OLS_3290437a-9aa9-11ee-9e54-acde48001122,OLS_3290437a-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,ijkl5678,Order_66,2021-03-29T14:49:58Z,Mark LLC,8.0,2021-05-07T13:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-03-19T14:49:58Z
OLS_32904398-9aa9-11ee-9e54-acde48001122,OLS_32904398-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,ijkl5678,Order_67,2021-04-15T07:49:58Z,Mark LLC,1.0,2021-06-05T07:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-04-05T07:49:58Z
OLS_329043c0-9aa9-11ee-9e54-acde48001122,OLS_329043c0-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,ijkl5678,Order_68,2021-05-02T01:49:58Z,Mark LLC,7.0,2021-06-25T01:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-04-22T01:49:58Z
OLS_329043e8-9aa9-11ee-9e54-acde48001122,OLS_329043e8-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,ijkl5678,Order_69,2021-05-18T19:49:58Z,Mark LLC,7.0,2021-06-04T19:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-05-08T19:49:58Z
OLS_32904410-9aa9-11ee-9e54-acde48001122,OLS_32904410-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,ijkl5678,Order_70,2021-06-04T13:49:58Z,Mark LLC,0.0,2021-06-29T13:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-05-25T13:49:58Z
OLS_32904438-9aa9-11ee-9e54-acde48001122,OLS_32904438-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,ijkl5678,Order_71,2021-06-21T07:49:58Z,Mark LLC,14.0,2021-08-08T07:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-06-11T07:49:58Z
OLS_32904456-9aa9-11ee-9e54-acde48001122,OLS_32904456-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,ijkl5678,Order_72,2021-07-08T01:49:58Z,Mark LLC,12.0,2021-08-27T01:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-06-28T01:49:58Z
OLS_3290447e-9aa9-11ee-9e54-acde48001122,OLS_3290447e-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,ijkl5678,Order_73,2021-07-24T19:49:58Z,Mark LLC,3.0,2021-08-14T19:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-07-14T19:49:58Z
OLS_329044a6-9aa9-11ee-9e54-acde48001122,OLS_329044a6-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,ijkl5678,Order_74,2021-08-10T13:49:58Z,Mark LLC,1.0,2021-09-02T13:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-07-31T13:49:58Z
OLS_329044ce-9aa9-11ee-9e54-acde48001122,OLS_329044ce-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,ijkl5678,Order_75,2021-08-27T07:49:58Z,Mark LLC,1.0,2021-09-18T08:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-08-17T07:49:58Z
